ID,AGE,INCOME,GENDER,MARITAL,NUMKIDS,NUMCARDS,HOWPAID,MORTGAGE,STORECAR,LOANS,RISK
100546,38,42386,m,married  ,1,1,monthly,y,2,0,good risk 
100482,36,42356,f,married  ,0,2,monthly,y,1,0,good risk 
100779,45,42334,f,married  ,0,1,monthly,y,1,0,good risk 
100644,41,42309,m,married  ,0,1,monthly,y,1,1,bad profit
100680,42,42231,m,married  ,1,2,monthly,y,2,1,good risk 
100318,31,42210,f,married  ,0,2,monthly,y,1,1,bad loss  
100408,34,42206,m,married  ,1,1,monthly,y,1,0,good risk 
100362,33,42192,f,married  ,1,2,monthly,y,1,0,good risk 
100479,36,42175,m,married  ,0,1,monthly,y,1,1,good risk 
100313,31,42175,m,married  ,1,1,monthly,y,1,1,good risk 
100289,30,42169,f,married  ,0,2,monthly,y,2,1,good risk 
100617,40,42143,m,married  ,0,2,monthly,y,2,0,bad loss  
100281,30,42119,m,married  ,0,1,monthly,y,1,1,good risk 
100550,38,42110,f,married  ,1,2,monthly,y,1,0,good risk 
100560,38,42096,m,married  ,1,1,monthly,y,1,0,good risk 
100498,36,42091,f,married  ,0,1,monthly,y,1,0,good risk 
100747,44,42078,m,married  ,0,2,monthly,y,2,1,good risk 
100298,30,42053,f,married  ,0,2,monthly,y,2,1,bad profit
100299,30,41965,f,married  ,1,1,monthly,y,2,0,bad loss  
100636,41,41964,f,married  ,0,2,monthly,y,1,1,good risk 
100786,45,41898,f,married  ,0,2,monthly,y,1,1,bad profit
100339,32,41879,m,married  ,0,1,monthly,y,2,0,good risk 
100659,41,41774,f,married  ,0,1,monthly,y,1,0,bad profit
100559,38,41769,m,married  ,0,2,monthly,y,2,1,bad profit
100762,44,41750,f,married  ,0,1,monthly,y,2,0,good risk 
100669,26,41696,f,married  ,1,1,monthly,y,2,0,bad profit
100788,45,41676,f,married  ,1,2,monthly,y,1,0,bad loss  
100441,35,41676,f,married  ,1,2,monthly,y,2,0,good risk 
100372,33,41631,f,married  ,1,1,monthly,y,1,1,good risk 
100413,34,41629,m,married  ,1,2,monthly,y,2,1,good risk 
100278,30,41624,m,married  ,0,2,monthly,y,1,1,good risk 
100406,34,41552,f,married  ,1,2,monthly,y,1,0,good risk 
100484,36,41530,m,married  ,1,1,monthly,y,1,0,bad profit
100553,38,41506,f,married  ,0,1,monthly,y,1,0,bad profit
100359,33,41489,m,married  ,1,1,monthly,y,2,1,good risk 
100520,37,41432,m,married  ,1,1,monthly,y,1,1,bad profit
100304,31,41421,f,married  ,0,2,monthly,y,1,1,bad loss  
100719,31,41315,f,married  ,0,1,monthly,y,1,0,good risk 
100349,32,41300,f,married  ,0,2,monthly,y,2,0,good risk 
100437,35,41248,m,married  ,1,2,monthly,y,2,1,bad loss  
100616,40,41205,f,married  ,0,2,monthly,y,1,1,good risk 
100315,31,41169,f,married  ,1,2,monthly,y,1,1,good risk 
100638,41,41168,m,married  ,1,2,monthly,y,1,1,bad loss  
100744,44,41162,f,married  ,0,2,monthly,y,1,1,bad profit
100395,34,41159,m,married  ,0,2,monthly,y,2,0,good risk 
100556,38,41158,f,married  ,1,2,monthly,y,2,0,bad profit
100457,35,41132,f,married  ,0,2,monthly,y,2,1,good risk 
100639,41,41095,f,married  ,0,1,monthly,y,2,0,good risk 
100740,44,41048,m,married  ,0,1,monthly,y,1,1,good risk 
100434,35,40992,m,married  ,1,2,monthly,y,2,0,good risk 
100508,37,40991,m,married  ,1,2,monthly,y,1,0,bad loss  
100400,34,40971,f,married  ,0,1,monthly,y,2,1,good risk 
100577,39,40964,m,married  ,1,1,monthly,y,2,1,good risk 
100391,34,40949,f,married  ,0,2,monthly,y,1,1,good risk 
100685,42,40940,f,married  ,1,2,monthly,y,1,1,bad loss  
100364,33,40940,m,married  ,1,2,monthly,y,1,1,good risk 
100610,40,40912,m,married  ,0,1,monthly,y,1,0,good risk 
100435,35,40909,f,married  ,0,1,monthly,y,2,0,good risk 
100800,27,40906,m,married  ,1,2,monthly,y,1,0,good risk 
100467,36,40866,m,married  ,1,2,monthly,y,1,1,good risk 
100584,39,40693,m,married  ,0,2,monthly,y,2,0,bad loss  
100333,32,40636,f,married  ,1,1,monthly,y,2,1,good risk 
100748,44,40626,f,married  ,1,2,monthly,y,1,1,bad loss  
100787,45,40609,m,married  ,1,1,monthly,y,2,0,good risk 
100341,32,40543,f,married  ,1,1,monthly,y,1,0,bad loss  
100446,35,40507,m,married  ,1,1,monthly,y,2,1,good risk 
100481,36,40493,m,married  ,1,1,monthly,y,1,1,bad profit
100801,45,40473,f,married  ,1,1,monthly,y,1,1,good risk 
100738,44,40425,m,married  ,0,1,monthly,y,1,1,bad loss  
100538,37,40398,m,married  ,0,2,monthly,y,2,1,good risk 
100743,44,40390,m,married  ,0,1,monthly,y,1,1,bad loss  
100543,38,40328,f,married  ,0,1,monthly,y,2,1,bad profit
100466,36,40326,f,married  ,0,2,monthly,y,1,1,good risk 
100648,41,40246,m,married  ,0,1,monthly,y,2,1,bad loss  
100692,42,40182,m,married  ,1,1,monthly,y,2,1,good risk 
100554,38,40171,f,married  ,0,2,monthly,y,2,0,good risk 
100655,41,40100,f,married  ,1,1,monthly,y,2,0,good risk 
100178,38,39925,m,single   ,0,1,monthly,y,2,0,bad loss  
100355,33,39859,f,married  ,0,2,monthly,y,2,1,good risk 
100301,31,39696,m,married  ,0,1,monthly,y,1,0,bad loss  
100105,33,39676,m,single   ,0,0,monthly,y,2,0,good risk 
100574,39,39589,f,married  ,0,1,monthly,y,2,0,bad profit
100778,32,39416,f,married  ,1,1,monthly,y,2,1,good risk 
100255,28,39379,f,single   ,0,0,monthly,y,2,0,good risk 
100047,28,39121,f,single   ,0,0,monthly,y,2,0,good risk 
100146,36,39028,f,single   ,0,0,monthly,y,2,0,bad loss  
100108,33,39024,f,single   ,0,0,monthly,y,1,0,bad profit
100106,33,38677,m,single   ,0,0,monthly,y,0,0,good risk 
100327,32,38537,f,married  ,1,1,monthly,y,1,0,good risk 
100268,45,37895,f,single   ,0,1,monthly,y,0,0,good risk 
100119,34,37885,m,single   ,0,1,monthly,y,1,0,bad loss  
100501,37,37810,f,married  ,1,2,monthly,y,1,0,bad loss  
100144,36,37613,f,single   ,0,0,monthly,y,2,0,good risk 
100260,29,37282,m,single   ,0,0,monthly,y,1,0,good risk 
100077,30,37234,m,single   ,0,0,monthly,y,0,0,bad profit
100118,34,37062,f,single   ,0,1,monthly,y,2,0,bad loss  
100048,28,36893,m,single   ,0,1,monthly,y,0,0,bad loss  
100224,41,36873,f,single   ,0,1,monthly,y,0,0,good risk 
100772,27,36852,f,married  ,0,2,monthly,y,1,0,good risk 
100460,36,36623,f,married  ,0,2,monthly,y,2,1,bad profit
100153,37,36487,m,single   ,0,1,monthly,y,1,0,good risk 
100076,30,36356,f,single   ,0,1,monthly,y,1,0,bad loss  
100270,45,36276,f,single   ,0,1,monthly,y,2,0,good risk 
100709,43,36255,m,married  ,0,2,monthly,y,2,1,good risk 
100092,32,36167,m,single   ,0,0,monthly,y,0,0,good risk 
100253,44,36163,f,single   ,0,1,monthly,y,1,0,bad loss  
100221,41,36154,f,single   ,0,1,monthly,y,2,0,bad loss  
100131,35,35875,f,single   ,0,1,monthly,y,0,0,good risk 
100103,33,35731,f,single   ,0,1,monthly,y,1,0,bad profit
100036,27,35505,f,single   ,0,1,monthly,y,2,0,bad profit
100233,42,35407,f,single   ,0,1,monthly,y,0,0,good risk 
100176,38,35193,f,single   ,0,0,monthly,y,2,0,good risk 
100129,35,35172,m,single   ,0,1,monthly,y,0,0,good risk 
100223,41,35117,m,single   ,0,1,monthly,y,1,0,good risk 
100200,40,34995,f,single   ,0,0,monthly,y,2,0,bad loss  
100209,40,34453,f,single   ,0,0,monthly,y,2,0,good risk 
100074,30,34328,f,single   ,0,0,monthly,y,2,0,good risk 
100252,44,34288,m,single   ,0,1,monthly,y,0,0,good risk 
100462,36,34288,m,married  ,0,1,monthly,y,2,0,bad loss  
100182,39,34252,f,single   ,0,1,monthly,y,0,0,bad loss  
100017,38,34115,m,single   ,0,1,monthly,y,2,0,bad profit
100018,29,33987,f,single   ,0,0,monthly,y,2,0,bad loss  
100150,37,33953,m,single   ,0,1,monthly,y,1,0,bad profit
100190,39,33911,m,single   ,0,0,monthly,y,2,0,bad loss  
100194,39,33815,f,single   ,0,0,monthly,y,2,0,bad loss  
100132,35,33808,f,single   ,0,0,monthly,y,0,0,good risk 
100112,34,33796,f,single   ,0,0,monthly,y,2,0,bad loss  
100242,31,33747,f,single   ,0,0,monthly,y,1,0,bad loss  
100357,33,33683,m,married  ,1,1,monthly,y,2,1,good risk 
100041,28,33658,m,single   ,0,0,monthly,y,2,0,good risk 
100148,37,33635,f,single   ,0,1,monthly,y,0,0,bad loss  
100142,36,33509,m,single   ,0,0,monthly,y,0,0,bad loss  
100057,29,33503,f,single   ,0,1,monthly,y,1,0,bad loss  
100777,45,33502,f,married  ,1,2,monthly,y,2,1,good risk 
100202,28,33489,m,single   ,0,1,monthly,y,0,0,good risk 
100162,37,33471,f,single   ,0,1,monthly,y,0,0,good risk 
100187,39,33299,m,single   ,0,1,monthly,y,1,0,good risk 
100188,39,33229,m,single   ,0,1,monthly,y,1,0,good risk 
100046,28,33220,m,single   ,0,0,monthly,y,0,0,good risk 
100065,30,33142,f,single   ,0,1,monthly,y,1,0,good risk 
100189,39,33011,m,single   ,0,0,monthly,y,1,0,bad profit
100773,35,32977,m,married  ,0,2,monthly,y,1,1,good risk 
100089,32,32916,m,single   ,0,0,monthly,y,1,0,bad profit
100029,26,32851,f,single   ,0,0,monthly,y,0,0,bad profit
100205,40,32820,f,single   ,0,0,monthly,y,2,0,bad profit
100003,25,32662,m,single   ,0,0,monthly,y,2,0,bad profit
100023,26,32644,f,single   ,0,1,monthly,y,1,0,bad profit
100225,41,32643,f,single   ,0,0,monthly,y,2,0,bad loss  
100014,37,32640,f,single   ,0,0,monthly,y,2,0,good risk 
100016,36,32620,m,single   ,0,1,monthly,y,1,0,good risk 
100204,40,32543,f,single   ,0,0,monthly,y,0,0,bad loss  
100059,29,32539,m,single   ,0,0,monthly,y,2,0,bad loss  
100137,36,32512,f,single   ,0,0,monthly,y,0,0,bad profit
100152,37,32472,f,single   ,0,0,monthly,y,2,0,good risk 
100008,25,32461,m,single   ,0,0,monthly,y,2,0,good risk 
100463,36,32033,f,married  ,1,2,monthly,y,1,1,good risk 
100095,32,31986,f,single   ,0,0,monthly,y,2,0,good risk 
100258,32,31985,m,single   ,0,1,monthly,y,0,0,good risk 
100111,34,31928,f,single   ,0,0,monthly,y,2,0,good risk 
100025,26,31911,m,single   ,0,0,monthly,y,0,0,bad loss  
100673,42,31891,f,married  ,0,2,monthly,y,1,0,good risk 
100030,26,31891,f,single   ,0,1,monthly,y,1,0,bad loss  
100099,33,31868,m,single   ,0,0,monthly,y,0,0,good risk 
100078,31,31853,f,single   ,0,1,monthly,y,0,0,good risk 
100158,37,31818,m,single   ,0,0,monthly,y,2,0,bad profit
100104,33,31804,f,single   ,0,0,monthly,y,0,0,good risk 
100154,37,31798,f,single   ,0,1,monthly,y,2,0,bad profit
100192,39,31771,m,single   ,0,0,monthly,y,0,0,good risk 
100230,30,31689,m,single   ,0,0,monthly,y,2,0,good risk 
100244,43,31586,m,single   ,0,0,monthly,y,0,0,good risk 
100121,34,31567,f,single   ,0,1,monthly,y,0,0,good risk 
100167,38,31523,f,single   ,0,0,monthly,y,2,0,good risk 
100358,33,31453,m,married  ,1,2,monthly,y,1,0,good risk 
100116,34,31391,f,single   ,0,0,monthly,y,2,0,bad profit
100045,28,31347,f,single   ,0,1,monthly,y,0,0,good risk 
100093,32,31295,f,single   ,0,1,monthly,y,2,0,bad profit
100049,28,31292,f,single   ,0,1,monthly,y,1,0,bad profit
100429,35,31251,f,married  ,1,2,monthly,y,1,0,bad profit
100207,40,31242,f,single   ,0,1,monthly,y,0,0,good risk 
100265,45,31237,m,single   ,0,0,monthly,y,0,0,good risk 
100220,41,31169,m,single   ,0,0,monthly,y,1,0,bad loss  
100179,38,31101,m,single   ,0,0,monthly,y,1,0,bad loss  
100090,32,31096,f,single   ,0,1,monthly,y,2,0,good risk 
100262,45,31021,m,single   ,0,0,monthly,y,0,0,good risk 
100067,30,30884,f,single   ,0,1,monthly,y,2,0,good risk 
100232,42,30807,f,single   ,0,1,monthly,y,1,0,good risk 
100246,43,30791,f,single   ,0,1,monthly,y,1,0,good risk 
100022,26,30618,m,single   ,0,0,monthly,y,1,0,good risk 
100229,42,30580,m,single   ,0,0,monthly,y,1,0,good risk 
100234,42,30547,m,single   ,0,1,monthly,y,0,0,good risk 
100609,40,30546,f,married  ,0,2,monthly,y,2,0,good risk 
100115,34,30436,m,single   ,0,0,monthly,y,1,0,good risk 
100133,35,30422,f,single   ,0,1,monthly,y,0,0,good risk 
100632,35,30359,m,married  ,1,1,monthly,y,1,0,bad profit
100608,40,30273,m,married  ,0,1,monthly,y,2,0,bad loss  
100240,43,30268,m,single   ,0,0,monthly,y,0,0,good risk 
100124,35,30256,f,single   ,0,0,monthly,y,0,0,good risk 
100218,41,30060,f,single   ,0,0,monthly,y,2,0,good risk 
103503,36,29986,m,divsepwid,2,6,weekly ,n,5,2,bad loss  
103829,42,29963,f,married  ,3,4,monthly,y,4,2,bad loss  
103424,46,29955,f,divsepwid,3,6,weekly ,n,5,3,bad profit
103100,42,29943,f,divsepwid,4,6,weekly ,n,5,2,bad profit
103733,50,29934,m,divsepwid,4,6,weekly ,y,5,3,bad profit
100064,30,29933,m,single   ,0,1,monthly,y,2,0,good risk 
103229,44,29927,m,divsepwid,2,6,weekly ,n,3,2,bad profit
103419,34,29925,m,divsepwid,2,6,weekly ,n,4,2,bad profit
103398,46,29920,f,divsepwid,3,5,weekly ,n,4,3,bad profit
104079,49,29907,m,married  ,3,4,weekly ,y,5,1,bad loss  
103006,41,29907,m,divsepwid,2,6,weekly ,y,3,2,bad loss  
100004,32,29892,f,single   ,0,0,monthly,y,0,0,good risk 
103662,49,29881,m,divsepwid,2,5,weekly ,y,5,2,bad loss  
